Code,Count,Percentage
606,6578,32.86%
537,3842,19.19%
585,1512,7.55%
545,1479,7.39%
572,1029,5.14%
564,701,3.50%
527,470,2.35%
532,464,2.32%
538,427,2.13%
580,340,1.70%
581,316,1.58%
644,240,1.20%
543,228,1.14%
517,184,0.92%
516,180,0.90%
518,173,0.86%
652,158,0.79%
579,134,0.67%
671,129,0.64%
616,111,0.55%
560,100,0.50%
651,88,0.44%
610,80,0.40%
696,78,0.39%
642,72,0.36%
641,65,0.32%
609,65,0.32%
607,64,0.32%
634,59,0.29%
633,55,0.27%
608,40,0.20%
593,35,0.17%
628,33,0.16%
536,33,0.16%
635,32,0.16%
591,32,0.16%
631,31,0.15%
618,31,0.15%
524,25,0.12%
617,22,0.11%
539,21,0.10%
656,21,0.10%
529,20,0.10%
509,16,0.08%
611,15,0.07%
613,15,0.07%
598,14,0.07%
547,12,0.06%
601,12,0.06%
636,11,0.05%
541,10,0.05%
540,10,0.05%
583,9,0.04%
556,9,0.04%
663,7,0.03%
703,7,0.03%
649,7,0.03%
566,7,0.03%
614,6,0.03%
620,6,0.03%
542,5,0.02%
604,4,0.02%
512,3,0.01%
504,3,0.01%
521,3,0.01%
597,3,0.01%
554,2,0.01%
677,2,0.01%
668,2,0.01%
670,2,0.01%
621,2,0.01%
655,2,0.01%
662,2,0.01%
674,2,0.01%
630,1,0.00%
588,1,0.00%
619,1,0.00%
629,1,0.00%
508,1,0.00%
622,1,0.00%
546,1,0.00%
653,1,0.00%
625,1,0.00%
627,1,0.00%
569,1,0.00%
667,1,0.00%
