class_name,precision,recall,f1,support
000,0.92746,0.81639,0.86839,4526.0
607,0.98624,0.97220,0.97917,1475.0
538,0.99652,0.98398,0.99021,874.0
546,0.72555,0.67449,0.69909,341.0
588,0.97239,1.00000,0.98600,317.0
579,0.80556,0.25778,0.39057,225.0
566,0.90789,0.93243,0.92000,148.0
529,0.94215,0.98276,0.96203,116.0
536,0.53901,0.81720,0.64957,93.0
539,0.95122,0.86667,0.90698,90.0
583,0.92135,0.93182,0.92655,88.0
581,0.82812,0.60920,0.70199,87.0
649,0.90000,0.49091,0.63529,55.0
545,0.25000,0.06383,0.10169,47.0
518,1.00000,0.90476,0.95000,42.0
517,0.94286,0.80488,0.86842,41.0
521,0.94872,0.90244,0.92500,41.0
674,0.85000,0.48571,0.61818,35.0
653,0.00000,0.00000,0.00000,34.0
580,0.75000,0.65625,0.70000,32.0
564,0.68750,0.42308,0.52381,26.0
617,0.71429,0.62500,0.66667,24.0
644,0.00000,0.00000,0.00000,23.0
611,0.00000,0.00000,0.00000,19.0
634,0.00000,0.00000,0.00000,19.0
652,0.00000,0.00000,0.00000,16.0
642,1.00000,0.73333,0.84615,15.0
703,0.00000,0.00000,0.00000,15.0
610,0.85714,0.46154,0.60000,13.0
635,0.00000,0.00000,0.00000,12.0
608,0.63636,0.70000,0.66667,10.0
619,0.60000,0.33333,0.42857,9.0
609,0.87500,0.77778,0.82353,9.0
537,1.00000,0.66667,0.80000,9.0
593,0.85714,0.75000,0.80000,8.0
597,0.00000,0.00000,0.00000,8.0
618,0.00000,0.00000,0.00000,7.0
629,1.00000,0.83333,0.90909,6.0
633,1.00000,0.16667,0.28571,6.0
540,0.00000,0.00000,0.00000,6.0
636,0.00000,0.00000,0.00000,6.0
614,0.00000,0.00000,0.00000,5.0
661,0.50000,0.20000,0.28571,5.0
504,0.00000,0.00000,0.00000,5.0
604,0.00000,0.00000,0.00000,5.0
556,0.00000,0.00000,0.00000,5.0
541,0.00000,0.00000,0.00000,4.0
512,0.00000,0.00000,0.00000,4.0
527,0.00000,0.00000,0.00000,4.0
532,0.00000,0.00000,0.00000,4.0
85,0.00000,0.00000,0.00000,3.0
613,0.00000,0.00000,0.00000,3.0
560,0.00000,0.00000,0.00000,3.0
569,0.00000,0.00000,0.00000,3.0
641,0.00000,0.00000,0.00000,3.0
542,0.00000,0.00000,0.00000,3.0
516,0.00000,0.00000,0.00000,2.0
585,0.00000,0.00000,0.00000,2.0
621,0.00000,0.00000,0.00000,2.0
667,0.00000,0.00000,0.00000,2.0
668,0.00000,0.00000,0.00000,1.0
651,0.00000,0.00000,0.00000,1.0
670,0.00000,0.00000,0.00000,1.0
671,0.00000,0.00000,0.00000,1.0
677,0.00000,0.00000,0.00000,1.0
543,0.00000,0.00000,0.00000,1.0
509,0.00000,0.00000,0.00000,1.0
606,0.00000,0.00000,0.00000,1.0
601,0.00000,0.00000,0.00000,1.0
616,0.00000,0.00000,0.00000,1.0
598,0.00000,0.00000,0.00000,1.0
622,0.00000,0.00000,0.00000,1.0
625,0.00000,0.00000,0.00000,0.0
696,0.00000,0.00000,0.00000,0.0
591,0.00000,0.00000,0.00000,0.0
620,0.00000,0.00000,0.00000,0.0
663,0.00000,0.00000,0.00000,0.0
631,0.00000,0.00000,0.00000,0.0
524,0.00000,0.00000,0.00000,0.0
656,0.00000,0.00000,0.00000,0.0
655,0.00000,0.00000,0.00000,0.0
627,0.00000,0.00000,0.00000,0.0
628,0.00000,0.00000,0.00000,0.0
572,0.00000,0.00000,0.00000,0.0
630,0.00000,0.00000,0.00000,0.0
547,0.00000,0.00000,0.00000,0.0
